type,space,price,area_price,address,metro,time_to_metro,date,source
2-к. квартира,48,9 200 000₽,188525²,"Курляндская ул., 23",Балтийская,16–20 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_488_m_24_et._7918896095?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,44,12 000 000₽,269663²,"Садовая ул., 59",Садовая,6–10 мин.,24 июля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_445_m_35_et._7518973563?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,32,6 190 000₽,190462²,"пр-т Просвещения, 24/2",Проспект Просвещения,11–15 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_325_m_59_et._7931921059?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
3-к. квартира,49,10 800 000₽,219512²,"Прибрежная ул., 2/41",Рыбацкое,11–15 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_492_m_716_et._7930350072?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,24,4 900 000₽,196787²,"ул. Лётчика Лихолетова, 14к2",,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_249_m_712_et._7930521200?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,49,12 470 000₽,252429²,"14-я линия Васильевского острова, 51",Василеостровская,6–10 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_494_m_44_et._7946009803?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,14,2 990 000₽,210563²,"2-я линия Васильевского острова, 45",Спортивная,до 5 мин.,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_142_m_24_et._7946932695?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,36,7 990 000₽,218904²,"пос. Парголово, ул. Фёдора Абрамова, 8",Парнас,11–15 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_365_m_2527_et._7939703246?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,41,8 150 000₽,196860²,"пр-т Авиаконструкторов, 42к2",Комендантский проспект,от 31 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_414_m_910_et._7928430474?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,41,7 380 000₽,176978²,"пр-т Героев, 26к3",,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_417_m_1417_et._7908080015?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,25 м²,5 000 000₽,200000²,"Автовская ул., 29",Автово,6–10 мин.,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_25_m_28_et._7887952334?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,31,5 600 000₽,177778²,"пос. Шушары, Новгородский пр-т, 10",Купчино,от 31 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_315_m_1324_et._7939218797?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,35,3 700 000₽,103064²,"Синопская наб., 28",Площадь А. Невского I,6–10 мин.,10 февраля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_359_m_33_et._4635865206?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
4-к. квартира,90,9 300 000₽,102990²,"пр-т Ударников, 18",Ладожская,от 31 мин.,24 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_903_m_815_et._7634757507?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,36,6 499 000₽,177084²,"пос. Шушары, Школьная ул., 17",Купчино,от 31 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_367_m_416_et._7961703644?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,27 м²,5 620 000₽,208148²,"ул. Жуковского, 5",Маяковская,6–10 мин.,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27_m_47_et._7987661417?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,20 м²,5 490 000₽,274500²,"Лиговский пр-т, 63",Площадь Восстания,6–10 мин.,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_20_m_37_et._7938563452?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,56,16 999 900₽,299294²,"Светлановский пр-т, 8",Удельная,21–30 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_568_m_69_et._7890503112?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,34,6 395 000₽,186988²,"Русановская ул., 18к6",Обухово,от 31 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_342_m_1224_et._7910528715?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,32 м²,6 420 000₽,200625²,"ул. Сикейроса, 6к1",Озерки,до 5 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_32_m_19_et._7931394568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
2-к. квартира,42,9 900 000₽,234043²,"Удельный пр-т, 55",Удельная,11–15 мин.,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_423_m_25_et._7999570784?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,31,3 500 000₽,111465²,"пос. Понтонный, Клубная ул., 1/2",,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_314_m_15_et._7970601566?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,33 м²,9 580 000₽,290303²,"Наличная ул., 45к1",Приморская,6–10 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_33_m_49_et._7973704965?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,37,10 500 000₽,280000²,"Российский пр-т, 8",Проспект Большевиков,11–15 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_375_m_1520_et._7928047545?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Квартира-студия,16 м²,3 990 000₽,249375²,"Садовая ул., 105",Балтийская,21–30 мин.,24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_16_m_34_et._7903708080?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
1-к. квартира,29,6 280 000₽,214334²,"пр-т Славы, 37",Проспект Славы,до 5 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_293_m_39_et._7961093632?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
Апартаменты-студия,27,6 000 000₽,217391²,"ул. Хошимина, 16",Проспект Просвещения,6–10 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_276_m_1516_et._7932779084?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxQ1RnNFlRajk3dDlMc3Z6Ijt9pWNYHD8AAAA
