type,space,price,area_price,address,metro,time_to_metro,date,source
2-к. квартира,72,19 150 000₽,265235²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,19 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_722_m_26_et._7771553054?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,81 м²,16 000 000₽,197531²,"городской пос. Новоселье, Питерский пр-т, 1",,,24 апреля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_81_m_59_et._7330546422?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,34 м²,5 500 000₽,161765²,,,,3 недели назад,https://www.avito.ru/sankt-peterburg_kolpino/kvartiry/1-k._kvartira_34_m_114_et._7906471889?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Своб. планировка,211 м²,11 990 000₽,56825²,,Рыбацкое,от 31 мин.,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/svob._planirovka_211_m_13_et._7910437238?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,72,12 000 000₽,165517²,"пр-т Маршала Жукова, 18Г",Юго-Западная,6–10 мин.,3 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_725_m_516_et._7633072004?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,36 м²,10 200 000₽,283333²,"Опочинина ул., 27",Горный институт,16–20 мин.,4 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_36_m_66_et._7672833901?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,106,68 500 000₽,641386²,"Лодейнопольская ул., 7",Чкаловская,6–10 мин.,24 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1068_m_89_et._7817197135?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,100,41 800 000₽,415920²,"Измайловский б-р, 9",Балтийская,11–15 мин.,20 января 21:26,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1005_m_1618_et._7897080491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Квартира-студия,24,5 250 000₽,213415²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_25_et._7900581799?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Апартаменты-студия,27,6 800 000₽,245487²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_277_m_724_et._7879852174?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Квартира-студия,24 м²,4 649 000₽,193708²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_24_m_1112_et._4542905758?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
1-к. квартира,40,5 600 000₽,138614²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_404_m_1823_et._7897062848?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Апартаменты-студия,27,5 847 000₽,211848²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_276_m_1016_et._7343330845?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
1-к. квартира,43,17 380 000₽,397712²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_437_m_79_et._4590665352?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Квартира-студия,21,9 500 000₽,433790²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_219_m_1313_et._7819759261?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Квартира-студия,26,5 690 000₽,211524²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_269_m_810_et._7728061664?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
Квартира-студия,22,4 500 000₽,198238²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_227_m_612_et._7774239579?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
1-к. квартира,34,11 200 000₽,326531²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_343_m_812_et._7663767966?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToicTY2OTR5dWZzaDRybjc2cjJ1Y2VvM2syb3hiOXZociI7feBZoiiIAAAA
2-к. квартира,90,41 900 000₽,463496²,"Черниговская ул., 17",Московские ворота,11–15 мин.,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_904_m_312_et._7919969249?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,32,13 800 000₽,427245²,"Манчестерская ул., 5к1",Удельная,16–20 мин.,15 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_323_m_910_et._7757968894?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,63,22 530 000₽,353135²,"ул. Челюскина, 10",Приморская,от 31 мин.,30 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_638_m_419_et._7569555762?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,32,14 999 000₽,461508²,"Манчестерская ул., 5к1",Удельная,16–20 мин.,16 января 00:00,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_325_m_310_et._7935228711?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,52,21 433 974₽,407490²,"наб. канала Грибоедова, 84",Садовая,6–10 мин.,19 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_526_m_34_et._7812157957?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Апартаменты-студия,25,11 571 300₽,448500²,"Ташкентская ул., 6к2",Московские ворота,до 5 мин.,23 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_258_m_816_et._7895326855?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,76,23 150 000₽,302614²,"ул. Стахановцев, 9А",Новочеркасская,до 5 мин.,28 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_765_m_45_et._7781832230?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,64 м²,24 000 000₽,375000²,"Кушелевская дорога, 6к1",Лесная,16–20 мин.,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_64_m_1717_et._7945057353?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,48,16 200 000₽,336100²,"Нейшлотский пер., 11к1",Выборгская,6–10 мин.,2 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_482_m_712_et._7608864690?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,42 м²,7 600 000₽,180952²,"д. Юкки, Тенистая ул., 11к1",,,26 января 01:55,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_42_m_23_et._7838205983?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,34,15 200 000₽,443149²,"Измайловский б-р, 11",Фрунзенская,11–15 мин.,19 января 17:56,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_343_m_314_et._7866477122?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. апартаменты,48 м²,15 000 000₽,312500²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,24 января 2024,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_48_m_26_et._3644499619?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,64,15 800 000₽,244204²,"Учительская ул., 18к1",Гражданский проспект,11–15 мин.,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_647_m_925_et._7895983141?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Квартира-студия,23,6 400 000₽,272340²,"Комендантский пр-т, 69",Комендантский проспект,от 31 мин.,5 часов назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_235_m_1625_et._7999387997?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,60 м²,15 000 000₽,250000²,,,,8 мая 2021,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_60_m_35_et._1753986487?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,41,8 150 000₽,196860²,"пр-т Авиаконструкторов, 42к2",Комендантский проспект,от 31 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_414_m_910_et._7928430474?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,75,21 490 000₽,283136²,"10-я Советская ул., 10/30",Чернышевская,16–20 мин.,9 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_759_m_56_et._7711964574?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,82 м²,13 200 000₽,160976²,"пр-т Маршала Жукова, 58к4",Проспект Ветеранов,21–30 мин.,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_82_m_110_et._7961900046?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,45,27 300 000₽,605322²,"ул. Чапаева, 17к2",Горьковская,11–15 мин.,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_451_m_49_et._7936183977?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,80 м²,28 500 000₽,356250²,"пр-т Энгельса, 2",Лесная,21–30 мин.,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_80_m_67_et._7878427724?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,92,42 000 000₽,453564²,"наб. Чёрной речки, 35",Чёрная речка,6–10 мин.,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_926_m_79_et._7932455227?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,67,18 117 000₽,270000²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,18 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_671_m_46_et._7771187949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Квартира-студия,19,7 384 824₽,386640²,,Приморская,от 31 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_191_m_515_et._7719232035?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,38,14 490 000₽,378329²,"Лиговский пр-т, 271",Обводный канал,11–15 мин.,7 января 11:41,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_383_m_311_et._7784381909?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,65,11 330 962₽,172465²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_657_m_29_et._7756049849?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,48,8 920 000₽,182413²,,,,,https://www.avito.ru/sankt-peterburg_pushkin/kvartiry/2-k._kvartira_489_m_69_et._8001560915?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,35,5 870 157₽,163971²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_358_m_712_et._7696167460?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
3-к. квартира,73,15 350 000₽,207995²,"ул. Чудновского, 2/11",Проспект Большевиков,16–20 мин.,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_738_m_79_et._7945173070?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Апартаменты-студия,20 м²,7 910 000₽,395500²,"пр-т Московский, д. 115, лит. В",Московские ворота,6–10 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_20_m_811_et._7772027012?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,31 м²,10 500 000₽,338710²,"Лиговский пр-т, 257",Обводный канал,6–10 мин.,1 час назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31_m_25_et._7961883735?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. апартаменты,45,17 540 000₽,387196²,"пр-т Московский, д. 115, лит. В",Московские ворота,6–10 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._apartamenty_453_m_711_et._7772151126?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Апартаменты-студия,29,6 439 999₽,219048²,"пр-т Заневский, д. 65А",Ладожская,6–10 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_294_m_915_et._4004504781?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,36,10 750 000₽,294521²,"ул. Есенина, 1к1",Озерки,11–15 мин.,24 июля 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_365_m_2525_et._7547278425?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Квартира-студия,33,21 666 333₽,641016²,"ул. Миргородская, д. 1, лит. А",Площадь А. Невского II,11–15 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_338_m_59_et._2519133814?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,48,8 026 055₽,164132²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_489_m_712_et._7680864141?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
4-к. квартира,113,21 000 000₽,185349²,"Ленинский пр-т, 53к1",,,1 час назад,https://www.avito.ru/sankt-peterburg/kvartiry/4-k._kvartira_1133_m_317_et._7991323739?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. квартира,50,18 500 142₽,364176²,,Елизаровская,6–10 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_508_m_312_et._7892016361?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
Апартаменты-студия,12,5 450 000₽,436000²,"Заставская ул., 33с3",Московские ворота,до 5 мин.,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_125_m_44_et._7876890258?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
2-к. апартаменты,40,13 755 999₽,336332²,"пр-т Заневский, д. 65А",Ладожская,6–10 мин.,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._apartamenty_409_m_715_et._3428047411?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,38,6 941 865₽,178454²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_389_m_712_et._7680854579?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,31,9 890 000₽,316987²,"пр-т Маршала Блюхера, 3к3",Лесная,16–20 мин.,15 мая 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_312_m_122_et._7361420335?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,42 м²,7 226 479₽,172059²,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_42_m_712_et._7680619992?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ1a0drdWljdFMxc3Y3aXo4Ijt9BTBilT8AAAA
1-к. квартира,32,5 500 000₽,169753²,"ул. Симонова, 12к3",Проспект Просвещения,16–20 мин.,28 января 13:54,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_324_m_1015_et._7906772905?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDaExZemJJSVpISXFuV1JWIjt9d8Blbj8AAAA
