type,space,price,area_price,address,metro,subtitle,date,source
3-к. квартира,58,11 500 000₽,,"пр-т Науки, 2","Политехническая ,11–15 мин.",,22 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_586_m_19_et._7472667342?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
Квартира-студия,30 м²,8 500 000₽,,"Дизельный пр., 11к2","Звёздная ,21–30 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_30_m_718_et._7939007449?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,38,9 300 000₽,,"пр-т Героев, 18",,,6 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_383_m_623_et._7643539256?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,31 м²,9 250 000₽,,"Арцеуловская аллея, 21",,,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31_m_825_et._7961397477?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
3-к. квартира,79,13 000 000₽,,"Муринская дорога, 84","Девяткино ,16–20 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_799_m_318_et._7870220820?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
2-к. квартира,59,12 600 000₽,,"пос. Парголово, Заречная ул., 19к1","Парнас ,11–15 мин.",,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_594_m_1319_et._7920776264?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
3-к. квартира,60,10 800 000₽,,"пр-т Художников, 34/12","Проспект Просвещения ,16–20 мин.",,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_603_m_89_et._7990127878?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,43,10 600 000₽,,"2-я Жерновская ул., 29к1",,,10 января 13:18,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_431_m_27_et._7806326937?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,32,8 600 000₽,,"Светлановский пр-т, 37","Политехническая ,16–20 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_321_m_910_et._7939202307?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
1-к. квартира,40 м²,11 999 000₽,,"Приморский пр-т, 157к2","Беговая ,6–10 мин.",,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_40_m_612_et._7929462056?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJLcE96c2ZZWml6M2U3MDJKIjt9Ib-38z8AAAA
