type,space,price,area_price,address,metro,subtitle,date,source
Квартира-студия,24,4 036 463₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_242_m_916_et._7406998042?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,53,12 773 222₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_539_m_14_et._7406038317?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,54 м²,28 868 400₽,,"пр-т Лермонтовский, стр. 2.2","Балтийская ,6–10 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54_m_99_et._3589828810?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,57,23 990 000₽,,"None, None","Приморская ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_578_m_922_et._7914060938?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,27,4 460 000₽,,"None, None",None,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_279_m_39_et._7930842534?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. апартаменты,32,9 615 000₽,,"пр-т Коломяжский, д. 4, лит. А","Чёрная речка ,6–10 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_321_m_914_et._7530818242?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,53,11 379 000₽,,"None, None","Обухово ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_537_m_324_et._7837698971?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Апартаменты-студия,11 м²,1 950 000₽,,"Сестрорецкая ул., 3","Чёрная речка ,6–10 мин.",,9 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_11_m_15_et._7877633283?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. квартира,54 м²,15 000 000₽,,"Комендантский пр-т, 71",None,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_54_m_1325_et._7917975686?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
3-к. квартира,74 м²,35 164 800₽,,"None, None","Петроградская ,11–15 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_74_m_56_et._7506094867?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,34,6 076 637₽,,"None, None","Гражданский проспект ,от 31 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_348_m_2125_et._7406526728?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
3-к. квартира,41,7 707 000₽,,"ул. Костюшко, 26","Московская ,16–20 мин.",,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_418_m_25_et._7969072761?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
2-к. апартаменты,58,12 000 000₽,,"None, None","Улица Дыбенко ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._apartamenty_583_m_1414_et._7434833934?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,33,8 939 700₽,,"None, None","Юго-Западная ,21–30 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_331_m_1620_et._7937166603?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
Квартира-студия,23,15 579 416₽,,"ул. Новгородская, д. 8","Площадь А. Невского I ,16–20 мин.",,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_234_m_210_et._4079098718?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
1-к. квартира,31,6 150 000₽,,"ул. Софьи Ковалевской, 4","Академическая ,6–10 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_311_m_29_et._7961401155?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJ0OUVFbWhwbVMxUTRkM0l2Ijt9Jh--Wz8AAAA
