type,space,price,area_price,address,metro,time_to_metro,subtitle,date,source
1-к. квартира,34 м²,11 800 000₽,347 059 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_34_m_1022_et._7929823765?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Квартира-студия,24,5 500 000₽,222 672 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_247_m_25_et._7885057128?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Квартира-студия,26,7 299 000₽,276 477 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_264_m_712_et._7676200000?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Квартира-студия,29,4 695 000₽,159 153 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_295_m_1214_et._7778199268?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Квартира-студия,25,5 320 000₽,206 202 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_258_m_45_et._7592185057?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Апартаменты-студия,17,5 600 000₽,316 384 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_177_m_916_et._7928489036?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Квартира-студия,27,6 490 000₽,237 729 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_273_m_44_et._7878690609?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Апартаменты-студия,29 м²,5 500 000₽,189 655 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_29_m_817_et._7667620404?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
2-к. квартира,83,35 950 000₽,428 998 ₽ за м²,"Суворовский пр-т, 61",Чернышевская,16–20 мин.,,13 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_838_m_67_et._7760518441?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
3-к. квартира,62,25 200 000₽,402 556 ₽ за м²,"ул. Фрунзе, 16",Парк Победы,6–10 мин.,,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_626_m_47_et._7915780597?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
3-к. квартира,72,18 844 650₽,258 500 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,13 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_729_m_69_et._7606659527?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Своб. планировка,211 м²,11 990 000₽,56 825 ₽ за м²,,Рыбацкое,от 31 мин.,,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/svob._planirovka_211_m_13_et._7910437238?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,44,14 700 000₽,330 337 ₽ за м²,"Зеленогорская ул., 7",Пионерская,16–20 мин.,,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_445_m_1125_et._7945095619?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,62,32 000 000₽,514 469 ₽ за м²,"Лисичанская ул., 15",Чёрная речка,6–10 мин.,,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_622_m_710_et._7946248537?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. апартаменты,30,7 400 000₽,244 224 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,6 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_303_m_39_et._7670850268?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. апартаменты,30,10 100 300₽,329 000 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,,5 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_307_m_69_et._7451829169?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
3-к. квартира,120,59 000 000₽,490 849 ₽ за м²,"Петровский пр-т, 11к3",Крестовский остров,16–20 мин.,,18 января 19:18,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1202_m_69_et._7904580503?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,23 м²,9 750 000₽,423 913 ₽ за м²,"наб. канала Грибоедова, 46",Сенная площадь,до 5 мин.,,11 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_23_m_26_et._7877149171?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Апартаменты-студия,28,7 002 800₽,244 000 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,17 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_287_m_39_et._7830792855?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Апартаменты-студия,23,8 700 000₽,375 000 ₽ за м²,"Каменноостровский пр-т, 45",Петроградская,до 5 мин.,,9 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_232_m_66_et._7812292896?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,27 м²,11 300 000₽,418 519 ₽ за м²,"Большая Московская ул., 5",Владимирская,до 5 мин.,,17 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27_m_24_et._7784014413?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,66,27 900 000₽,418 291 ₽ за м²,"Московский пр-т, 136",Московские ворота,6–10 мин.,,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_667_m_35_et._7870702871?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. апартаменты,38,9 881 400₽,258 000 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,26 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_383_m_59_et._7510236006?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
3-к. квартира,72,17 000 000₽,235 131 ₽ за м²,"ул. Джона Рида, 7к1",Проспект Большевиков,6–10 мин.,,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_723_m_610_et._7990136917?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,67,18 117 000₽,270 000 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,,18 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_671_m_46_et._7771187949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,24,9 900 000₽,399 194 ₽ за м²,"Тосина ул., 6",Обводный канал,11–15 мин.,,17 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_248_m_113_et._7631952793?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,69,50 000 000₽,720 461 ₽ за м²,"Почтамтская ул., 12",Адмиралтейская,6–10 мин.,,22 мая 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_694_m_22_et._7402213836?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. апартаменты,29,7 222 400₽,244 000 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,6 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_296_m_29_et._7670337058?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,84 м²,29 999 999₽,357 143 ₽ за м²,"Невский пр-т, 130",Площадь Восстания,до 5 мин.,,3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_84_m_34_et._7892949588?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,34,10 300 000₽,302 053 ₽ за м²,"ул. Седова, 93к5",Ломоносовская,11–15 мин.,,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_341_m_37_et._7901922933?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,22,4 300 053₽,191 113 ₽ за м²,,Рыбацкое,от 31 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_225_m_2223_et._7732396973?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,36,13 350 078₽,366 760 ₽ за м²,,Звёздная,21–30 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_364_m_612_et._7892735602?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. апартаменты,40,7 905 398₽,195 195 ₽ за м²,,Улица Дыбенко,21–30 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._apartamenty_405_m_217_et._4184371518?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,33,11 980 206₽,355 496 ₽ за м²,"наб. канала Грибоедова, 84",Садовая,6–10 мин.,,18 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_337_m_14_et._7812599142?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,62,29 596 848₽,475 070 ₽ за м²,"ул. Перевозная, д. 1, лит. Б",Садовая,21–30 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_623_m_610_et._7768016248?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,22,8 350 008₽,377 828 ₽ за м²,,Московская,21–30 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_221_m_1011_et._7892456201?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,40,6 693 893₽,166 102 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_403_m_1012_et._7696557722?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Апартаменты-студия,18,8 210 065₽,436 706 ₽ за м²,"Заставская ул., 33с3",Московские ворота,до 5 мин.,,16 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_188_m_34_et._7812901295?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
3-к. квартира,72,26 137 734₽,360 024 ₽ за м²,,Юго-Западная,6–10 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_726_m_2323_et._7406638575?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,21,6 180 000₽,287 442 ₽ за м²,"12-я линия Васильевского острова, 37А",Василеостровская,6–10 мин.,,24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_215_m_26_et._7784888305?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,40,21 109 311₽,516 120 ₽ за м²,,Новочеркасская,11–15 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_409_m_814_et._7879685663?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Апартаменты-студия,29,6 389 999₽,218 836 ₽ за м²,"пр-т Заневский, д. 65А",Ладожская,6–10 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_292_m_915_et._4004117262?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,54,19 800 000₽,365 314 ₽ за м²,"Варшавская ул., 19к5",Электросила,6–10 мин.,,1 неделю назад,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_542_m_2020_et._7991785019?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,26,7 490 000₽,282 642 ₽ за м²,"Коломенская ул., 42",Лиговский проспект,до 5 мин.,,3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_265_m_34_et._7889776147?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Апартаменты-студия,29,6 529 999₽,222 109 ₽ за м²,"пр-т Заневский, д. 65А",Ладожская,6–10 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_294_m_815_et._4004086628?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,50,19 200 168₽,378 702 ₽ за м²,,Звёздная,21–30 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_507_m_1112_et._7348737021?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,40,14 500 000₽,359 801 ₽ за м²,"Невский пр-т, 16",Адмиралтейская,до 5 мин.,,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_403_m_56_et._7892682519?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,21,6 676 357₽,313 444 ₽ за м²,"Октябрьская наб., корп. 2.5",Ломоносовская,от 31 мин.,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_213_m_1825_et._7406092325?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
