type,space,price,area_price,address,metro,time_to_metro,subtitle,date,source
Апартаменты-студия,29,7 420 200₽,249 000 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,5 июня 2025,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_298_m_59_et._7446688335?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,52,16 500 000₽,314 286 ₽ за м²,"пр-т Космонавтов, 106",Купчино,6–10 мин.,,19 января 11:50,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_525_m_1224_et._7868662268?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,65,17 750 000₽,270 579 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,,18 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_656_m_36_et._7771816749?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
2-к. квартира,72,19 133 000₽,265 000 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,,20 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_722_m_36_et._7771684568?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,24,6 002 400₽,244 000 ₽ за м²,"ул. Ивана Фомина, 8",Проспект Просвещения,11–15 мин.,,11 сентября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_29_et._7670489363?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
3-к. квартира,100,41 800 000₽,415 920 ₽ за м²,"Измайловский б-р, 9",Балтийская,11–15 мин.,,20 января 21:26,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1005_m_1618_et._7897080491?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
1-к. квартира,34,15 200 000₽,443 149 ₽ за м²,"Измайловский б-р, 11",Фрунзенская,11–15 мин.,,19 января 17:56,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_343_m_314_et._7866477122?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,21,8 900 000₽,412 037 ₽ за м²,"Сапёрный пер., 23",Чернышевская,6–10 мин.,,5 января 13:26,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_216_m_45_et._7909492687?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJDWnpOTVFNb0dZMmhLQ1FjIjt9dX5zEz8AAAA
Квартира-студия,24,5 500 000₽,224 490 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_245_m_15_et._7973028331?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
Квартира-студия,26,5 690 000₽,211 524 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_269_m_810_et._7728061664?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToic21ubDV6b2Zob2swNG1uYTcybTJkNDE0dDZscXhmbSI7fYA_yOiIAAAA
