type,space,price,area_price,address,metro,subtitle,date,source
Квартира-студия,20,4 200 000₽,,"Чарушинская ул., 22к1","Гражданский проспект ,от 31 мин.",,29 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_204_m_525_et._7797496071?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
2-к. квартира,51,13 000 000₽,,"Витебская ул., 9","Балтийская ,21–30 мин.",,15 января 19:06,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_518_m_34_et._7905706396?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
2-к. квартира,55 м²,9 500 000₽,,"Шлиссельбургский пр-т, 32к2","Рыбацкое ,11–15 мин.",,Вчера,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_55_m_912_et._7925454237?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
Квартира-студия,22 м²,7 300 000₽,,"б-р Александра Грина, 3","Приморская ,21–30 мин.",,22 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_22_m_1518_et._7817837118?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
1-к. квартира,35,7 980 000₽,,"Русановская ул., 19к1","Обухово ,от 31 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_355_m_623_et._7932838144?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
1-к. квартира,34,5 750 000₽,,"Октябрьская наб., 124к2","Обухово ,от 31 мин.",,28 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_344_m_59_et._7762074092?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
1-к. квартира,44 м²,8 600 000₽,,"пос. Парголово, ул. Михаила Дудина, 25к2","Парнас ,6–10 мин.",,2 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_44_m_2426_et._7858376184?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
3-к. квартира,55,11 500 000₽,,"пр-т Тореза, 98к2","Удельная ,11–15 мин.",,28 октября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_559_m_99_et._7697173214?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
2-к. квартира,57,10 200 000₽,,"пр-т Королёва, 50к1","Комендантский проспект ,21–30 мин.",,22 января 11:26,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_573_m_69_et._7923656495?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
1-к. квартира,30,6 500 000₽,,"ул. Софьи Ковалевской, 5к6","Академическая ,16–20 мин.",,7 дней назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_307_m_29_et._7909944437?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJTeEVIY2h3aGZkbUlVVGVSIjt9IXnmqj8AAAA
