type,space,price,area_price,address,metro,time_to_metro,subtitle,date,source
2-к. квартира,63,22 530 000₽,353 135 ₽ за м²,"ул. Челюскина, 10",Приморская,от 31 мин.,"Не всегда могу ответить, пишите сюда перед звонком если не отвечу сразу.

Услуги не предлагать, помощь не нужна!

Это квартира относится к недвижимости Премиум Класса и расположена в комфортном и перспективном жилищном комплексе Санкт-Петербурга.

Квартира в ипотеке. Но как все знают, в этом нет проблемы, решение и покупка плюс неделя.

ЖК glоrах Рrеmium Василеостровский!
Квартира Подключается К Уникальным Системам:

Умный Дом.
Умная Квартира.

Первая береговая линия Финского залива.
В ЖК сосред...",30 августа 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_638_m_419_et._7569555762?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
2-к. квартира,67,18 117 000₽,270 000 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,"Уникальное предложение! 2-комнатная квартира 67,1 м² с потолками 4,6 м.
Эксклюзив в премиальном доме с авторской планировкой!

О квартире:

— Площадь: 67,1 м² — идеальный баланс пространства и уюта!

— Потолки: 4,6 м — воздух и свобода в каждой комнате!

— Этаж: 3 — золотая середина: вид на зеленый двор и максимум света!

— Состояние: Готовая дизайнерская отделка — переезжайте и наслаждайтесь жизнью!

Локация мечты:

— 12 минут неспешным шагом до метро «Пионерская».

— 10 минут на авто до Зсд и ...",18 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_671_m_46_et._7771187949?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
2-к. квартира,68,27 999 000₽,408 745 ₽ за м²,"пр-т Медиков, 10к1",Петроградская,11–15 мин.,"Добрый день!

Стильная двусторонняя квартира в жилом комплексе бизнес-класса «Европа Сити» — формат заезжай и живи, где уже всё готово для вашего комфорта.
О квартире.

— Двусторонняя планировка: с одной стороны проспект Медиков, с другой — тихий закрытый двор.

— Большие окна, много естественного света, отличная шумоизоляция.

— Комнаты правильной формы — легко зонировать пространство под семью или пару.

— Функциональный формат: квартира делится на две самостоятельные зоны — приватную и общую....",24 декабря 2025,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_685_m_39_et._7893936146?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
3-к. квартира,88,33 000 000₽,372 881 ₽ за м²,"Боровая ул., 19А",Лиговский проспект,6–10 мин.,"Продается уникальная квартира в новом доме бизнес-класса Yes Residence на Боровой ул., 19.

Эта прекрасная Евротрехкомнатная квартира площадью 88,5 м² — идеальный выбор для комфортной жизни. С изолированной планировкой и евроремонтом вы ощутите уют и гармонию с первого шага.

Квартира располагается на 9 этаже.

Солнечная сторона наполняет каждое утро теплым светом, даря возможность наслаждаться красивыми видами. Окна выходят как на улицу, так и во двор, обеспечивая вам спокойствие и уединение — ...",3 дня назад,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_885_m_99_et._7892421542?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
2-к. апартаменты,65,15 842 400₽,241 500 ₽ за м²,"Серебристый б-р, 18к1",Пионерская,11–15 мин.,"Serebro by Avenue-apart — это не просто недвижимость, а заявление о вашем статусе. Мы предлагаем эксклюзивные двухуровневые апартаменты с дизайнерской отделкой и потолками 4,6 метра, которые создают ощущение простора и свободы.

Ваша жизнь в формате премиум:

— Роскошь и сервис: Вас встретит великолепное лобби, а круглосуточный консьерж, клининг и даже Valet Parking возьмут на себя все бытовые вопросы.

— Комфорт и безопасность: Наслаждайтесь спокойствием благодаря службе безопасности и всей нео...",13 января 2024,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._apartamenty_656_m_16_et._3611768366?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
3-к. квартира,100 м²,35 000 000₽,350 000 ₽ за м²,"Суздальское ш., 12к2",Парнас,от 31 мин.,"Просторная, уютная квартира в малоэтажном доме. Качественный ремонт. Новая техника и сантехника европейских производителей, встроенные шкафы. Две застекленные лоджии по 10,2кв. Метров. Два санузла. Входная дверь с шумо и теплоизоляцией. Достойные соседи. Закрытая охраняемая территория, есть несколько детских игровых площадок, футбольное поле, аптека, магазины, кофейня и т. Д. Комплекс — Ж К Новая Скандинавия.",18 декабря 2023,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_100_m_68_et._3584172460?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
1-к. квартира,31,13 490 000₽,426 899 ₽ за м²,"Земледельческая ул., 3",Лесная,16–20 мин.,"В продаже продуманная до мелочей, стильная однокомнатная квартира в ЖК «Терра»!

Описание квартиры:
- Квартира с продуманным ремонтом и использованием качественных материалов.
- Реализовано функциональное зонирование жилого пространства.
- Теплый пол на кухне и в санузле.
- Вместительный встроенный шкаф в прихожей.
- Мебель и техника остаются новому собственнику.

О доме:
- Современный, средне-этажный жилой комплекс со своей благоустроенной приватной территорией. Во дворе дома выполнен ландшафтн...",3 недели назад,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_316_m_1013_et._7914911094?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
1-к. квартира,32,13 800 000₽,427 245 ₽ за м²,"Манчестерская ул., 5к1",Удельная,16–20 мин.,"Пpодаeтся 1-комнaтная квaртирa с мебелью и техникой в жилoм кoмплeкce бизнес класса «Svеtlаnа Park» в совpeмeнном Bыбopгском pайoнe.
Очeнь cвeтлая, уютнaя, co всем нeобxoдимым для пpоживания!

Общая площадь с лоджией 32,3: просторная кухня 11,3 м / жилая комната 10 м / совмещенный санузел 4,1 м / застекленная лоджия 3,6 м.

▎ Про квартиру:
Потолки 3 метра, дополнительная шумоизоляция, никакого шума соседей.
Большие окнa в cпальнe и куxне выcoтой 2 м — выходят на улицу.
Выполнен качественный ремо...",15 ноября 2025,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_323_m_910_et._7757968894?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJjamF5R2ZwYzdFVXRsY3VYIjt91oAYyj8AAAA
Квартира-студия,24,5 250 000₽,213 415 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_246_m_25_et._7900581799?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiazRxY2MxeXZqZTc0MGYyODR3a2hxbGd3YmkyOHJ5OSI7faDSdK-IAAAA
Апартаменты-студия,27,6 800 000₽,245 487 ₽ за м²,,,,,,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_277_m_724_et._7879852174?context=H4sIAAAAAAAA_wGIAHf_YTo0OntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTk6Iml0ZW1zQ2Fyb3VzZWxXaWRnZXQiO3M6MTE6IndpZGdldFRpdGxlIjtOO3M6MToieCI7czozMToiazRxY2MxeXZqZTc0MGYyODR3a2hxbGd3YmkyOHJ5OSI7faDSdK-IAAAA
